
TimeGMT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />
12:20 AM,1.0,-2.0,81,1000,5.0,ESE,24.1,-,N/A,,Haze,110,2010-01-13 00:20:00<br />
12:50 AM,1.0,-2.0,81,1000,5.0,East,25.9,-,N/A,,Haze,100,2010-01-13 00:50:00<br />
1:20 AM,1.0,-2.0,81,1000,5.0,East,20.4,-,N/A,,Haze,90,2010-01-13 01:20:00<br />
1:50 AM,1.0,-2.0,81,1000,4.0,East,18.5,-,N/A,Snow,Light Snow,100,2010-01-13 01:50:00<br />
2:20 AM,0.0,-1.0,93,1000,3.0,East,14.8,-,N/A,Snow,Light Snow,90,2010-01-13 02:20:00<br />
2:50 AM,0,-1,91,1000,2.2,East,14.8,,,Snow,Light Snow,90,2010-01-13 02:50:00<br />
2:50 AM,0.0,-1.0,93,999,1.8,East,14.8,-,N/A,Snow,Light Snow,90,2010-01-13 02:50:00<br />
3:20 AM,0.0,-1.0,93,999,1.5,East,16.7,-,N/A,Snow,Light Snow,90,2010-01-13 03:20:00<br />
3:50 AM,0.0,-1.0,93,999,1.5,East,14.8,-,N/A,Snow,Snow,80,2010-01-13 03:50:00<br />
4:20 AM,0.0,-1.0,93,999,1.2,East,13.0,-,N/A,Snow,Light Snow,80,2010-01-13 04:20:00<br />
4:50 AM,0.0,-1.0,93,999,1.2,ENE,11.1,-,N/A,Snow,Snow,70,2010-01-13 04:50:00<br />
5:20 AM,0.0,-1.0,93,999,1.5,East,11.1,-,N/A,Snow,Snow,80,2010-01-13 05:20:00<br />
5:50 AM,-0,-1,93,1000,1.0,ENE,9.3,,,Snow,Light Snow,70,2010-01-13 05:50:00<br />
5:50 AM,0.0,-1.0,93,999,1.4,ENE,11.1,-,N/A,Snow,Snow,70,2010-01-13 05:50:00<br />
6:20 AM,0.0,-1.0,93,999,1.2,ENE,11.1,-,N/A,Snow,Snow,70,2010-01-13 06:20:00<br />
6:50 AM,0.0,-1.0,93,1000,1.2,ENE,13.0,-,N/A,Snow,Light Snow,70,2010-01-13 06:50:00<br />
