
TimeGMT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />
12:20 AM,6.0,3.0,81,1018,10.0,NW,13.0,-,N/A,,Mostly Cloudy,320,2010-01-28 00:20:00<br />
12:50 AM,6.0,3.0,81,1017,10.0,NW,13.0,-,N/A,,Mostly Cloudy,320,2010-01-28 00:50:00<br />
1:20 AM,6.0,3.0,81,1017,10.0,NW,13.0,-,N/A,,Mostly Cloudy,310,2010-01-28 01:20:00<br />
1:50 AM,5.0,2.0,81,1017,-9999.0,NW,13.0,-,N/A,,Clear,320,2010-01-28 01:50:00<br />
2:20 AM,5.0,2.0,81,1017,-9999.0,NNW,11.1,-,N/A,,Clear,330,2010-01-28 02:20:00<br />
2:50 AM,5,2,82,1017,15,NNW,11.1,,,,Scattered Clouds,330,2010-01-28 02:50:00<br />
2:50 AM,5.0,2.0,81,1017,-9999.0,NW,9.3,-,N/A,,Clear,320,2010-01-28 02:50:00<br />
3:20 AM,4.0,2.0,87,1016,-9999.0,NW,9.3,-,N/A,,Clear,320,2010-01-28 03:20:00<br />
3:50 AM,4.0,2.0,87,1016,-9999.0,NW,9.3,-,N/A,,Clear,310,2010-01-28 03:50:00<br />
4:20 AM,4.0,2.0,87,1016,-9999.0,WNW,9.3,-,N/A,,Clear,290,2010-01-28 04:20:00<br />
4:50 AM,4.0,2.0,87,1016,-9999.0,NW,9.3,-,N/A,,Clear,310,2010-01-28 04:50:00<br />
5:20 AM,4.0,2.0,87,1016,-9999.0,NW,11.1,-,N/A,,Clear,310,2010-01-28 05:20:00<br />
5:50 AM,5,2,82,1016,13,NW,11.1,,,,,320,2010-01-28 05:50:00<br />
5:50 AM,4.0,2.0,87,1016,-9999.0,NW,9.3,-,N/A,,Clear,320,2010-01-28 05:50:00<br />
6:20 AM,4.0,2.0,87,1016,-9999.0,WNW,11.1,-,N/A,,Clear,300,2010-01-28 06:20:00<br />
6:50 AM,4.0,2.0,87,1015,9.0,WNW,11.1,-,N/A,,Unknown,300,2010-01-28 06:50:00<br />
7:20 AM,5.0,2.0,81,1015,9.0,WNW,13.0,-,N/A,,Unknown,300,2010-01-28 07:20:00<br />
7:50 AM,5.0,2.0,81,1015,9.0,WNW,11.1,-,N/A,,Unknown,290,2010-01-28 07:50:00<br />
8:20 AM,5.0,2.0,81,1015,9.0,West,11.1,-,N/A,,Unknown,280,2010-01-28 08:20:00<br />
8:50 AM,5,3,80,1016,14,WNW,13.0,,,,Overcast,290,2010-01-28 08:50:00<br />
8:50 AM,5.0,2.0,81,1015,-9999.0,WNW,11.1,-,N/A,,Clear,290,2010-01-28 08:50:00<br />
9:20 AM,5.0,2.0,81,1015,-9999.0,WNW,11.1,-,N/A,,Clear,300,2010-01-28 09:20:00<br />
9:50 AM,5.0,2.0,81,1015,10.0,WNW,14.8,-,N/A,,Partly Cloudy,300,2010-01-28 09:50:00<br />
10:20 AM,6.0,2.0,76,1015,-9999.0,WNW,14.8,-,N/A,,Clear,300,2010-01-28 10:20:00<br />
10:50 AM,6.0,2.0,76,1015,-9999.0,WNW,14.8,-,N/A,,Clear,300,2010-01-28 10:50:00<br />
11:20 AM,6.0,2.0,76,1014,-9999.0,WNW,14.8,-,N/A,,Clear,300,2010-01-28 11:20:00<br />
11:50 AM,7,2,66,1014,17,WNW,16.7,,,,Scattered Clouds,300,2010-01-28 11:50:00<br />
11:50 AM,6.0,2.0,76,1014,10.0,WNW,14.8,-,N/A,,Partly Cloudy,300,2010-01-28 11:50:00<br />
12:20 PM,6.0,1.0,70,1014,10.0,WNW,16.7,-,N/A,,Partly Cloudy,300,2010-01-28 12:20:00<br />
12:50 PM,7.0,1.0,66,1013,10.0,WNW,16.7,-,N/A,,Scattered Clouds,300,2010-01-28 12:50:00<br />
1:20 PM,7.0,1.0,66,1012,10.0,NW,14.8,-,N/A,,Scattered Clouds,310,2010-01-28 13:20:00<br />
1:50 PM,7.0,1.0,66,1012,10.0,WNW,14.8,-,N/A,,Scattered Clouds,300,2010-01-28 13:50:00<br />
2:20 PM,7.0,1.0,66,1011,10.0,NW,14.8,-,N/A,,Scattered Clouds,320,2010-01-28 14:20:00<br />
2:50 PM,7,2,58,1011,24,WNW,16.7,,,,Scattered Clouds,300,2010-01-28 14:50:00<br />
2:50 PM,7.0,1.0,66,1011,10.0,NW,14.8,-,N/A,,Mostly Cloudy,310,2010-01-28 14:50:00<br />
3:20 PM,7.0,1.0,66,1010,10.0,WNW,16.7,-,N/A,,Mostly Cloudy,290,2010-01-28 15:20:00<br />
3:50 PM,7.0,2.0,71,1010,10.0,WNW,16.7,-,N/A,,Mostly Cloudy,290,2010-01-28 15:50:00<br />
4:20 PM,7.0,2.0,71,1010,10.0,WNW,14.8,-,N/A,,Mostly Cloudy,290,2010-01-28 16:20:00<br />
4:50 PM,6.0,2.0,76,1009,10.0,West,13.0,-,N/A,,Mostly Cloudy,270,2010-01-28 16:50:00<br />
5:20 PM,6.0,2.0,76,1009,10.0,West,14.8,-,N/A,,Mostly Cloudy,280,2010-01-28 17:20:00<br />
5:50 PM,6,3,74,1009,21,West,11.1,,,Rain,Rain,280,2010-01-28 17:50:00<br />
5:50 PM,6.0,3.0,81,1009,10.0,WNW,11.1,-,N/A,,Mostly Cloudy,290,2010-01-28 17:50:00<br />
6:20 PM,6.0,3.0,81,1008,10.0,West,16.7,-,N/A,,Scattered Clouds,270,2010-01-28 18:20:00<br />
6:50 PM,6.0,3.0,81,1008,10.0,West,20.4,-,N/A,,Light Drizzle,280,2010-01-28 18:50:00<br />
7:20 PM,5.0,3.0,87,1008,10.0,West,14.8,-,N/A,,Mostly Cloudy,270,2010-01-28 19:20:00<br />
7:50 PM,5.0,3.0,87,1007,10.0,West,14.8,-,N/A,,Mostly Cloudy,270,2010-01-28 19:50:00<br />
8:20 PM,5.0,3.0,87,1007,10.0,West,14.8,-,N/A,Rain,Light Rain Showers,270,2010-01-28 20:20:00<br />
8:50 PM,5,4,87,1006,11,West,14.8,,,Rain,Light Rain,260,2010-01-28 20:50:00<br />
8:50 PM,6.0,3.0,81,1006,10.0,West,16.7,-,N/A,Rain,Light Rain,260,2010-01-28 20:50:00<br />
9:20 PM,6.0,4.0,87,1006,10.0,West,16.7,-,N/A,Rain,Light Rain,260,2010-01-28 21:20:00<br />
9:50 PM,5.0,3.0,87,1005,10.0,West,14.8,-,N/A,Rain,Light Rain,260,2010-01-28 21:50:00<br />
10:20 PM,5.0,3.0,87,1004,10.0,WSW,18.5,-,N/A,,Partly Cloudy,240,2010-01-28 22:20:00<br />
10:50 PM,5.0,3.0,87,1003,10.0,WSW,16.7,-,N/A,,Partly Cloudy,250,2010-01-28 22:50:00<br />
11:20 PM,5.0,3.0,87,1002,10.0,WSW,16.7,-,N/A,,Partly Cloudy,250,2010-01-28 23:20:00<br />
11:50 PM,5,3,84,1002,21,WSW,18.5,,,,Mostly Cloudy,250,2010-01-28 23:50:00<br />
11:50 PM,5.0,3.0,87,1001,10.0,WSW,16.7,-,N/A,,Partly Cloudy,250,2010-01-28 23:50:00<br />
